Group,Course,ID,Number,Infinitive,Appropriate,Ambiguous,Inappropriate,Form,Corrected Form,Form_num,Corrected_num,Corrected_Form1,Form_num1
Experimental,SPA 3,E_Text 1,1,Ir,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,2,Conocer,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,3,Ser,1,0,0,imperfect,imperfect,2,2,imperfect,imperfect
Experimental,SPA 3,E_Text 1,4,Llevarse,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,5,Ayudar a encontrar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,6,Gustar,1,0,0,imperfect,imperfect,2,2,imperfect,imperfect
Experimental,SPA 3,E_Text 1,7,Ser,1,0,0,imperfect,imperfect,2,2,imperfect,imperfect
Experimental,SPA 3,E_Text 1,8,Ir a buscar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,9,Conocer,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,10,Conocer,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,11,Buscar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,12,Dar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,13,Conocer,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,14,Invitar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,15,Hacerse,0,0,1,present,preterite,3,1,preterit,present
Experimental,SPA 3,E_Text 1,16,Irse,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,17,Saber,0,0,1,present,imperfect,3,2,imperfect,present
Experimental,SPA 3,E_Text 1,18,Animar,0,0,1,present,preterite,3,1,preterit,present
Experimental,SPA 3,E_Text 1,19,Aceptar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,20,Marcar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,21,Estar,1,0,0,imperfect,imperfect,2,2,imperfect,imperfect
Experimental,SPA 3,E_Text 1,22,Invitar a tomar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,23,Decir,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,24,Recibir,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,25,Ver,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,26,Reunirse,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 1,28,Estar,1,0,0,imperfect,imperfect,2,2,imperfect,imperfect
Experimental,SPA 3,E_Text 1,30,Enfermar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 2,1,Empezar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 2,3,Pasar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 2,4,Querer ir,1,0,0,imperfect,imperfect,2,2,imperfect,imperfect
Experimental,SPA 3,E_Text 2,5,Necesitar,0,0,1,preterite,imperfect,1,2,imperfect,preterit
Experimental,SPA 3,E_Text 2,6,Ir,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 2,7,Sacar,0,0,1,preterite,imperfect,1,2,imperfect,preterit
Experimental,SPA 3,E_Text 2,9,Aparecer,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 2,10,Conocer,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 2,11,Intercambiar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 2,12,Estar,1,0,0,imperfect,imperfect,2,2,imperfect,imperfect
Experimental,SPA 3,E_Text 2,13,Tener,1,0,0,imperfect,imperfect,2,2,imperfect,imperfect
Experimental,SPA 3,E_Text 2,14,Terminar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 2,16,Tener,1,0,0,imperfect,imperfect,2,2,imperfect,imperfect
Experimental,SPA 3,E_Text 3,1,Estar,1,0,0,imperfect,imperfect,2,2,imperfect,imperfect
Experimental,SPA 3,E_Text 3,3,Conocer,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 3,4,Participar,1,0,0,imperfect,imperfect,2,2,imperfect,imperfect
Experimental,SPA 3,E_Text 3,6,Estar,1,0,0,imperfect,imperfect,2,2,imperfect,imperfect
Experimental,SPA 3,E_Text 3,7,Tener,1,0,0,imperfect,imperfect,2,2,imperfect,imperfect
Experimental,SPA 3,E_Text 3,8,Ayudar a comprar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 3,9,Ir,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 3,10,Pedir,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 3,11,Conocer,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 3,12,Ayudar a encontrar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 3,13,Viajar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 3,14,Conocer,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 3,15,Ir,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 3,16,Divertirse,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 3,17,Ir,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 3,19,Celebrar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 3,20,Reírse,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 3,21,Recibir,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 3,22,Decir,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 3,23,Poder intercambiar,1,0,0,imperfect,imperfect,2,2,imperfect,imperfect
Experimental,SPA 3,E_Text 3,24,Reunirse,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 4,1,Ir,0,0,1,preterite,imperfect,1,2,imperfect,preterit
Experimental,SPA 3,E_Text 4,2,Participar,1,0,0,preterite,preterite,1,1,preterit,preterit
Experimental,SPA 3,E_Text 4,3,Sentarse,1,0,0,preterite,preterite,1,1,preterit,preterit
