Group,Course,ID,Number,Infinitive,Appropriate,Ambiguous,Inappropriate,Form,Corrected Form 
Experimental,SPA 3,E_Text 1,1,Ir,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,2,Conocer,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,3,Ser,1,,,Imperfect,Imperfect
Experimental,SPA 3,E_Text 1,4,Llevarse,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,5,Ayudar a encontrar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,6,Gustar,1,,,Imperfect,Imperfect
Experimental,SPA 3,E_Text 1,7,Ser,1,,,Imperfect,Imperfect
Experimental,SPA 3,E_Text 1,8,Ir a buscar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,9,Conocer,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,10,Conocer,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,11,Buscar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,12,Dar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,13,Conocer,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,14,Invitar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,15,Hacerse,,,1,Present,Preterite
Experimental,SPA 3,E_Text 1,16,Irse,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,17,Saber,,,1,Present,Imperfect
Experimental,SPA 3,E_Text 1,18,Animar,,,1,Present,Preterite
Experimental,SPA 3,E_Text 1,19,Aceptar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,20,Marcar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,21,Estar,1,,,Imperfect,Imperfect
Experimental,SPA 3,E_Text 1,22,Invitar a tomar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,23,Decir,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,24,Recibir,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,25,Ver,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,26,Reunirse,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 1,27,Recibir,,,1,Preterite,Infinitive
Experimental,SPA 3,E_Text 1,28,Estar,1,,,Imperfect,Imperfect
Experimental,SPA 3,E_Text 1,29,Recibir,1,,,Infinitive,Infinitive
Experimental,SPA 3,E_Text 1,30,Enfermar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 2,1,Empezar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 2,2,Aceptar,1,,,Gerund,Gerund
Experimental,SPA 3,E_Text 2,3,Pasar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 2,4,Querer ir,1,,,Imperfect,Imperfect
Experimental,SPA 3,E_Text 2,5,Necesitar,,,1,Preterite,Imperfect
Experimental,SPA 3,E_Text 2,6,Ir,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 2,7,Sacar,,,1,Preterite,Imperfect
Experimental,SPA 3,E_Text 2,8,Escuchar,1,,,Infinitive,Infinitive
Experimental,SPA 3,E_Text 2,9,Aparecer,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 2,10,Conocer,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 2,11,Intercambiar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 2,12,Estar,1,,,Imperfect,Imperfect
Experimental,SPA 3,E_Text 2,13,Tener,1,,,Imperfect,Imperfect
Experimental,SPA 3,E_Text 2,14,Terminar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 2,15,Darse cuenta,,,1,Infinitive,Gerund
Experimental,SPA 3,E_Text 2,16,Tener,1,,,Imperfect,Imperfect
Experimental,SPA 3,E_Text 3,1,Estar,1,,,Imperfect,Imperfect
Experimental,SPA 3,E_Text 3,2,Hacer,1,,,Infinitive,Infinitive
Experimental,SPA 3,E_Text 3,3,Conocer,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 3,4,Participar,1,,,Imperfect,Imperfect
Experimental,SPA 3,E_Text 3,5,Llegar,1,,,Infinitive,Infinitive
Experimental,SPA 3,E_Text 3,6,Estar,1,,,Imperfect,Imperfect
Experimental,SPA 3,E_Text 3,7,Tener,1,,,Imperfect,Imperfect
Experimental,SPA 3,E_Text 3,8,Ayudar a comprar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 3,9,Ir,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 3,10,Pedir,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 3,11,Conocer,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 3,12,Ayudar a encontrar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 3,13,Viajar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 3,14,Conocer,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 3,15,Ir,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 3,16,Divertirse,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 3,17,Ir,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 3,18,Querer,1,,,Infinitive,Infinitive
Experimental,SPA 3,E_Text 3,19,Celebrar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 3,20,Reírse,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 3,21,Recibir,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 3,22,Decir,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 3,23,Poder intercambiar,1,,,Imperfect,Imperfect
Experimental,SPA 3,E_Text 3,24,Reunirse,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 4,1,Ir,,,1,Preterite,Imperfect
Experimental,SPA 3,E_Text 4,2,Participar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 4,3,Sentarse,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 4,4,Hablar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 4,5,Tocar,,,1,Present,Preterite
Experimental,SPA 3,E_Text 4,6,Reunirse,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 4,7,Buscar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 4,8,Ir,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 4,9,Reunirse,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 4,10,Dar,,,1,Present,Preterite
Experimental,SPA 3,E_Text 4,11,Ir,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 4,12,Vivir,,,1,Present,Imperfect
Experimental,SPA 3,E_Text 4,13,Llamarse,1,,,Imperfect,Imperfect
Experimental,SPA 3,E_Text 4,14,Vivir,,,1,Present,Imperfect
Experimental,SPA 3,E_Text 4,15,Invitar,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 4,16,Reunirse,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 4,17,Hacer,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 4,18,Ir,1,,,Preterite,Preterite
Experimental,SPA 3,E_Text 4,19,Recibir,,,1,Present,Preterite
Experimental,SPA 3,E_Text 4,20,Decir,1,,,Gerund,Gerund
