ID,length
E_Text 1,186
E_Text 2,87
E_Text 3,156
E_Text 4,185
E_Text 5,82
E_Text 6,113
E_Text 7,177
E_Text 8,166
E_Text 9,102
E_Text 10,86
E_Text 11,138
E_Text 12,77
E_Text 13,139
E_Text 14,92
E_Text 15,70
E_Text 16,158
E_Text 17,131
E_Text 18,199
E_Text 19,175
E_Text 20,68
E_Text 21,147
E_Text 22,62
E_Text 23,198
C_Text 1,140
C_Text 2,139
C_Text 3,62
C_Text 4,67
C_Text 5,113
C_Text 6,78
C_Text 7,121
C_Text 8,134
C_Text 9,101
C_Text 10,70
C_Text 11,72
C_Text 12,120
C_Text 13,58
C_Text 14,75
C_Text 15,86
C_Text 16,91
C_Text 17,71
C_Text 18,68
C_Text 19,77
C_Text 20,74
C_Text 21,85
C_Text 22,64
C_Text 23,88
C_Text 24,125
C_Text 25,135
C_Text 26,77
C_Text 27,129
C_Text 28,64
C_Text 29,77
C_Text 30,116
C_Text 31,69
C_Text 32,89
C_Text 33,86
C_Text 34,78
C_Text 35,89
